,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Balance,Central Government Operation: Revenue,Central Government Operation: Expenditure,Gross Domestic Product: Estimate: Monthly,GDP per Capita: SNA 1968,GDP/Capita: SNA 1993: 1993 Base,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: sa,Real GDP: YoY: saar,Real GDP: sa: YoY,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: Output Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,OE Forecast: Australia: GDP: Nominal: USD,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,AF: Gross Domestic Product (GDP),AF: GDP: Changes in Inventories,AF: GDP: Household Consumption Expenditure including NPISHs,AF: GDP: Volume: 2002 Prices,AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services",GDP: 2010p: Final Consumption Expenditure: Government,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,AF: GDP: Exports of Goods and Services,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Gross Capital Formation,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work",NAS 2011-2012: GDP Deflator,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",GDP: GVA: NACE 2: Industry,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Information & Communication,GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Real Estate Activities,Government Consumption Expenditure: USD mn: Quarterly: Albania,GDP: Final Consumption: Government,GDP: Final Consumption: Households,Private Consumption Expenditure: USD mn: Annual: Albania,Private Consumption Expenditure: USD mn: Quarterly: Albania,Gross Domestic Product (GDP),GDP: Gross Value Added (GVA),GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Construction,GDP: Changes in Stocks
01/01/2010,,,115,73740,73625,2930,,,17585.67430433,59663.5652252,10650.58447687,31427.306444,-3708.40992578,14076.01582133,,,,,,,,,,,59.9,63.7,55.8,52.4,50,17784.42574711,,,,,,,,,,,,,,,,,,,,,55.9,46.1,,59.9,,,,,,,,,,,,,,,,,,,13762.61,13877.61,115,48.9,52.9,55.8,47.3,,,,,,,,,,,,,,,,,,,,,
01/02/2010,,,-10630,56914,67544,3260,,,2569.55255785,41706.22162945,12953.27885493,26183.39021666,-3781.05620717,15207.3428676,,,,,,,,,,,58,61.9,56.1,53.7,50.8,18988.39907477,,,,,,,,,,,,,,,,,,,,,55.4,44.5,,58,,,,,,,,,,,,,,,,,,,9418.71,-1211.29,-10630,49.9,51.4,56.5,48.1,,,,,,,,,,,,,,,,,,,,,
01/03/2010,,,-16824,62378,79201,3511,,,2288.54232766,46494.66193048,9014.97272329,35191.14687953,-6726.40722968,15882.92400789,2.09427292,8.11733453,11.72017713,7.92072791,11.27512562,,4.01697133,4.43964662,7.15222686,,59.1,64.9,56.6,54.7,51.7,22609.33123757,,,,,,,,,,,,,,,,,,,,,56.5,43.7,,59.9,294992.3,161593.8,15721.1914,1369.3719,,,,,,,6302.8679,,,,,,,,12385.75,-4438.25,-16824,49.6,52.5,57.9,47.7,,44395.1777,8187.5597,29867.6567,,51477.5214,33283.7924,13763.9044,10506.7472,6692.3659,19236.1323,316.14595113,31685.3213,223317.6695,,2241.85507661,271180.2492,238814.1647,32366.0845,28864.3437,
01/04/2010,,,5678,78387,72709,3544,,,19692.39899995,62057.08996696,11606.62615337,30758.06481364,-3011.81292561,16330.0561889,,,,,,,,,,,59.9,69.2,55.1,55.1,52.6,19341.86911451,,,,,,,,,,,,,,,,,,,,,57.2,42.7,,60.1,,,,,,,,,,,,,,,,,,,11002.7,16680.7,5678,50.4,55,58.6,48,,,,,,,,,,,,,,,,,,,,,
01/05/2010,,,-13547,65313,78860,3562,,,2123.86730127,48731.39280424,13952.15889723,32655.36660574,-2589.52286761,16581.71781479,,,,,,,,,,,57.3,66.9,55.3,54.6,52.2,19171.2406824,,,,,,,,,,,,,,,,,,,,,55.7,42.7,,57.2,,,,,,,,,,,,,,,,,,,13081.21,-465.79,-13547,51.6,53.5,56,48.9,,,,,,,,,,,,,,,,,,,,,
01/06/2010,,,-8107,61275,69382,3962.7,,,3517.84901937,44695.05841492,10980.32076076,30196.88863479,-2778.32464589,16580.28675901,2.10860302,6.20546359,8.89412287,8.53956637,12.76050453,,3.40807175,3.66880804,7.77659771,,55.1,59.8,52.6,52.9,52.2,19358.6114049,,,,,,,,,,,,,,,,,,,,,54,42.6,,53.9,297859.5,160621.6,17913.6458,1273.4949,,,,,,,6752.3621,,,,,,,,8846.65,739.65,-8107,49.9,52.2,54.3,49.4,,50991.4516,8958.0441,29729.1055,,74379.155,38016.6447,17127.8907,10447.9711,7310.2419,19042.7019,318.21430092,34329.1172,265719.8073,,2474.89868485,326142.1717,284832.9792,41309.1925,39205.3014,
01/07/2010,,,-13049,68371,81420,3773,,,3390.67730045,51526.63926329,8563.85270753,39572.10925531,-2565.64276383,16844.42161147,,,,,,,,,,,55.9,58.5,52.3,52.3,52.9,19410.0643753,,,,,,,,,,,,,,,,,,,,,54.2,43.4,,54.1,,,,,,,,,,,,,,,,,,,13874.19,825.19,-13049,49.7,51.5,54.8,49,,,,,,,,,,,,,,,,,,,,,
01/08/2010,,,-9289,69619,78908,3863,,,9506.60473976,52288.33396328,12008.10259632,30773.6266272,-5415.58928179,17330.64448312,,,,,,,,,,,54.9,59.6,51.8,51.2,52.5,22746.23376491,,,,,,,,,,,,,,,,,,,,,53.6,44.1,,53.3,,,,,,,,,,,,,,,,,,,13380.1,4091.1,-9289,49.7,52.5,53.8,48.7,,,,,,,,,,,,,,,,,,,,,
01/09/2010,,,16156,138959,122804,4361,,,35195.82385999,121831.68398852,9880.73027963,76755.1298489,-9191.14291889,17127.53294304,2.5309428,6.57580807,6.12055441,7.37903422,12.19773564,,1.43265882,5.51213756,5.95260237,,53.9,62.3,51.6,51.2,52.3,26318.67586193,,,,,,,,,,,,,,,,,,,,,53.3,44.6,,53.5,310591.4,166440.5,17424.103,2046.3464,,,,,,,8883.7533,,,,,,,,9849.05,26005.05,16156,50.2,54.5,53.7,49.2,,55521.3946,8242.1997,28808.7453,,52420.2446,34956.5045,18207.1798,11474.2838,7489.8889,19266.8084,320.24501346,33842.3077,236926.7164,,2261.36859201,313577.7322,269795.7247,43782.0075,42731.9016,
01/10/2010,,,-2218,73912,76130,4175,,,10087.20245977,56348.60564315,11715.02791741,34546.37526597,-2172.61820411,17563.59008193,,,,,,,,,,,55.6,64.2,52.6,51.4,52.3,19736.20828604,,,,,,,,,,,,,,,,,,,,,54,45.2,,55.1,,,,,,,,,,,,,,,,,,,10132.45,7914.45,-2218,49,54.9,53.9,48.5,,,,,,,,,,,,,,,,,,,,,
01/11/2010,,,-11713,70961,82674,4210,,,5604.93351698,53040.87005676,12638.81888723,34797.11765255,-4424.44119504,17920.11623244,,,,,,,,,,,55.9,66.7,53.2,52.1,52.3,22344.55742748,,,,,,,,,,,,,,,,,,,,,54.5,44.8,,56.2,,,,,,,,,,,,,,,,,,,12893.2,1180.2,-11713,49.2,56.3,54.9,48,,,,,,,,,,,,,,,,,,,,,
01/12/2010,65395.81104365,,518,97437,96919,4637.3,,28778163.8176949,10619.80562395,66913.30727226,16713.84563523,39579.65601308,3474.79223762,30523.72964542,2.80374857,6.23236472,3.56530929,6.72442869,6.61871665,28778163.8176949,-0.73856759,3.2223974,6.38178215,3167.01038851,56.2,68,53.5,52.6,52.7,27048.9374078,362857.49283107,,,,,,,,,,,,,,,,,24911882.098411,,27028696.4858663,54.6,44.2,,55.6,344076.8,184148.5,21020.1066,1677.4653,711759.30773771,0,376107.70141597,362857.49283107,275961.12488818,215439.81669233,9024.6921,106755.07947254,106755.07947254,29068.7758945,118704.34907134,0,274453.6843301,215439.81669233,13576.6,14094.6,518,49.9,55.1,55.4,48.1,1331.76463136,53548.0769,9115.9418,36485.3569,,44311.8714,42630.5729,18487.962,12427.6183,8179.6139,18870.7889,377.15936584,38454.9175,235947.6149,9308.70919078,2330.58683731,328745.4316,284041.6776,44703.754,49447.1444,25122.97424792
01/01/2011,,,-1954,90764,92719,3498,,,17348.46653434,73648.66725961,15553.24884705,40746.95187822,-3021.87233039,17115.82314203,,,,,,,,,,,57.3,72.2,54.6,52.5,53.4,20137.69547242,,,,,,,,,,,,,,,,,,,,,55.3,44.6,,56.9,,,,,,,,,,,,,,,,,,,16280.78,14326.78,-1954,49.7,57.4,56.1,47.8,,,,,,,,,,,,,,,,,,,,,
01/02/2011,,,-12610,66763,79373,3820,,,5898.07540697,48985.00066272,15851.21798841,27235.70726734,-3315.59749873,17777.63415968,,,,,,,,,,,57.9,75.4,54.3,53.4,54,21093.23165841,,,,,,,,,,,,,,,,,,,,,55.8,43.3,,56.9,,,,,,,,,,,,,,,,,,,15192.63,2582.63,-12610,49.9,59.3,56.5,48.1,,,,,,,,,,,,,,,,,,,,,
01/03/2011,,,-7025,73314,80340,4223,,,12118.50855289,55294.14026454,10475.22673856,32700.40497309,-3135.50345804,18020.19868355,1.98200804,7.13302618,2.9236137,3.24878393,7.03827305,,-0.12379,0.89087168,5.16716672,,57.1,73.3,54.1,53.5,54.1,21155.70214159,,,,,,,,,,,,,,,,,,,,,55.3,44.5,,56.1,353414.1,190830.4,17354.5142,1383.7735,,,,,,,7333.3363,,,,,,,,16008.24,8983.24,-7025,50.2,58.8,56.9,49.1,,45825.4921,7190.0791,31897.5559,,59679.9419,38929.8534,17930.4115,9770.9849,7839.0832,19744.9343,328.11848705,33498.7283,241567.9608,,2379.70094774,296621.6781,261646.6775,34975.0006,33435.4165,
01/04/2011,,,-86,89132,89219,4135,,,21323.71518356,70586.11355676,14397.66268587,34864.73568733,-5729.46502445,18546.18449791,,,,,,,,,,,56.1,70.2,53.6,52.6,53.4,24275.64952236,,,,,,,,,,,,,,,,,,,,,54.8,43.3,,55.1,,,,,,,,,,,,,,,,,,,15680.5,15594.5,-86,50.3,58.2,55.3,49.7,,,,,,,,,,,,,,,,,,,,,
01/05/2011,,,-15268,75366,90635,4200,,,6608.51103619,56326.50905386,16281.91146445,33436.08655322,-2419.81039664,19039.806666,,,,,,,,,,,54.1,65.4,52.4,51.2,53.3,21459.61706264,,,,,,,,,,,,,,,,,,,,,53.5,44.5,,53.4,,,,,,,,,,,,,,,,,,,19456.97,4188.97,-15268,49.9,56.4,54.2,49.3,,,,,,,,,,,,,,,,,,,,,
01/06/2011,,,-6752,83461,90213,4307,,,12596.08487191,63849.23673961,13984.7326447,37268.419223,-1903.8134637,19612.10158253,2.53631342,4.90670595,1.76575007,2.88938388,4.60623076,,0.19161338,-1.08409172,3.87559206,,52.3,60.6,50.2,50.1,52.3,21515.91504623,,,,,,,,,,,,,,,,,,,,,52,46,,51.4,382006.6,204734.2,19579.4545,1352.3272,,,,,,,7374.1995,,,,,,,,17444.1,10692.1,-6752,49.7,54.7,51.7,48.7,,51017.9829,8919.0678,33150.317,97.17687117,77848.4269,36815.857,18337.9142,10302.2589,8182.7056,19724.6295,373.20814196,36741.2268,278061.8544,,2838.2189882,327181.0474,291544.1583,35636.8891,38208.7132,
01/07/2011,,,-5922,89924,95847,4476,,,13493.39626902,70168.30692859,12340.09385674,44334.81680283,-2084.81554777,19756.07525658,,,,,,,,,,,50.6,58.1,50.3,49.7,51.8,21840.89080435,,,,,,,,,,,,,,,,,,,,,51,47.2,,50.5,,,,,,,,,,,,,,,,,,,17330.72,11408.72,-5922,49.2,52.9,50.7,48.5,,,,,,,,,,,,,,,,,,,,,
01/08/2011,,,-17964,74745,92709,4528,,,6525.08840479,54293.80960927,14188.39169444,33580.33568123,-3926.01716496,20450.89876407,,,,,,,,,,,51.1,58.1,49.9,49.4,52.1,24376.91592903,,,,,,,,,,,,,,,,,,,,,50.8,48.1,,50.1,,,,,,,,,,,,,,,,,,,20563.09,2599.09,-17964,48,53.3,50.5,48.8,,,,,,,,,,,,,,,,,,,,,
01/09/2011,,,-7815,78266,86080,5038,,,14833.98837538,58472.25813982,9633.44050886,34004.86742711,-9350.42763566,19793.39657191,3.17212731,4.22262551,2.77640173,3.73880423,3.52787929,,2.73899802,-0.42005814,3.24749616,,51,58.4,49.1,48.4,51.3,29143.82420757,,,,,,,,,,,,,,,,,,,,,50.5,48.4,,49.7,384154.1,204286.3,17688.6446,1536.5412,,,,,,,7248.245,,,,,,,,13298.12,5483.12,-7815,48.7,53.1,49.9,48.3,,58524.1847,9096.0976,31474.9743,99.34401121,51425.9467,39636.8719,19018.114,11302.564,8585.3284,19488.5713,347.94796,34501.6511,248865.154,,2525.29244973,324042.3425,278527.4654,45514.8771,41744.6816,
01/10/2011,,,-3735,86510,90245,5175,,,12905.42266737,65988.40367199,15247.21983096,37835.83821278,-1328.14394524,20521.63053633,,,,,,,,,,,50.6,54.7,48.2,48.1,50.9,21849.77448157,,,,,,,,,,,,,,,,,,,,,50.6,48.4,,50.7,,,,,,,,,,,,,,,,,,,15311.82,11576.82,-3735,48.1,52.7,50.2,48.5,,,,,,,,,,,,,,,,,,,,,
01/11/2011,,,-11498,79533,91031,5100,,,9063.70739841,58973.60539395,15152.43984557,34757.51942697,-4216.69555209,20558.99802174,,,,,,,,,,,48.9,51.4,49.1,48.5,51,24775.69357383,,,,,,,,,,,,,,,,,,,,,49.4,48.3,,48.1,,,,,,,,,,,,,,,,,,,16344.99,4846.99,-11498,48,49.2,48.3,48.6,,,,,,,,,,,,,,,,,,,,,
01/12/2011,70389.98858177,,-16352,99410,115762,5200,,30115352.7800862,-3092.55346328,64710.35479474,19377.72622769,48425.29093203,4885.88366849,34699.19331286,3.35261257,3.08422623,-4.07215638,4.62452021,0.21368394,32363747.8630377,4.72066635,0.23817701,2.5119167,3687.75092107,50.6,51,49.7,48.2,50.8,29813.30964437,386367.65485106,,,,,,,,,,,,,,,,,28083000,,30659000,50.1,48.5,,49.5,371556.1,198784.3,19635.279,2282.8435,836222.47335589,0,454780.32894728,386367.65485106,363484.16834578,220821.99826013,9347.0808,119833.00368487,128180.87815725,34902.89398428,142545.31760398,0,345409.33980129,220821.99826013,18145.54,1793.54,-16352,47.4,49.6,49.4,48.8,1414.97247315,61293.9828,12775.1062,37339.6275,100.8861035,48107.386,37689.1814,18353.429,12581.3635,8869.6375,19409.595,365.69788413,37991.0239,243330.7764,10107.46509305,2364.25270738,352779.0123,299402.4981,53376.5142,51989.5374,22223.68845365
01/01/2012,,,1368,102248,100880,3924,,,23832.27221903,82650.45756693,15622.47032428,43195.71502362,-3005.39219515,19597.72533018,,,,,,,,,,,51.4,53.4,50.4,48.8,50.6,22603.11752533,,,,,,,,,,,,,,,,,,,,,50.8,48.5,,51.1,,,,,,,,,,,,,,,,,,,19459,20827,1368,47.6,49.4,50,48.5,,,,,,,,,,,,,,,,,,,,,
01/02/2012,,,-9351,77520,86871,4338,,,10502.73503353,58717.49683087,18190.90129184,30023.8605055,-5143.42337322,18802.34188408,,,,,,,,,,,52.2,56.6,49.9,48.9,51.1,23945.7652573,,,,,,,,,,,,,,,,,,,,,51.1,48.2,,50.9,,,,,,,,,,,,,,,,,,,14710.36,5359.36,-9351,48.3,51.4,50.4,49.4,,,,,,,,,,,,,,,,,,,,,
01/03/2012,,,-10504,82874,93378,4680,,,9468.18978657,60652.72558096,12285.93370408,38898.60209031,-1764.51066856,22221.37346666,4.71959354,0.51317561,2.61001915,6.62067144,0.70410009,,3.04575748,2.97317425,2.34601843,,52,57.8,50.4,50,51,23985.88413523,,,,,,,,,,,,,,,,,,,,,51.2,48.6,,51.1,389241.7,211296.8,18327.4735,1252.7187,,,,,,,5911.8221,,,,,,,,18208.02,7704.02,-10504,49.3,51.4,51.2,49.2,,46350.787,10717.2489,34781.9659,102.24267985,62742.7001,31801.8246,13265.4998,9042.1191,7807.5841,19868.2117,332.37702475,35276.4583,243430.1556,,2305.41754148,298725.96,259355.7174,39370.2426,30331.4539,
01/04/2012,,,-725,96570,97295,4728.5,,,16608.62282275,74804.08650556,16557.66751336,41637.79616945,-5315.67471793,21765.56872521,,,,,,,,,,,51.5,57,49.9,49.7,50.8,27081.24344314,,,,,,,,,,,,,,,,,,,,,51,48.9,,51.2,,,,,,,,,,,,,,,,,,,12017.85,11292.85,-725,49.4,51.8,51,49.1,,,,,,,,,,,,,,,,,,,,,
01/05/2012,,,-13550,81382,94932,4881,,,4446.70329936,59560.94651528,18060.60276755,37053.64044837,-2573.0935518,21820.89060591,,,,,,,,,,,50.5,52.9,49.1,49.3,50.1,24393.98415737,,,,,,,,,,,,,,,,,,,,,49.9,49.7,,49.7,,,,,,,,,,,,,,,,,,,15423.3,1873.3,-13550,48.2,50.4,49.7,49.8,,,,,,,,,,,,,,,,,,,,,
01/06/2012,,,-11089,79820,90909,4975.2,,,3957.97744329,58187.97948224,13445.84126186,40784.16077709,-2757.27414641,21631.89169768,4.35057397,1.51907846,6.05851295,5.81630195,0.76204015,,2.77610017,2.82029057,2.43520728,,50.3,47.7,47.4,47.7,49.7,24389.16584409,,,,,,,,,,,,,,,,,,,,,49.5,50.7,,49.5,375971.2,205443.5,18781.114,1601.8507,,,,,,,6062.8335,,,,,,,,12289.53,1200.53,-11089,47.4,47.5,48.6,49.6,,54768.8631,13164.3933,35485.2578,104.8965402,81000.0438,38659.2712,15162.2199,10175.9072,7991.5086,18733.952,336.89945643,36586.6271,278183.7094,,2576.34033485,346823.2937,302722.9734,44100.3203,36680.9429,
01/07/2012,,,-9351,88071,97422,5083.5,,,6620.3102927,65786.74301504,11474.26234411,47692.17037823,-2580.98271677,22283.99301506,,,,,,,,,,,49.4,46.9,47.4,47.2,49.1,24864.97573183,,,,,,,,,,,,,,,,,,,,,49,50.5,62.1,48.6,,,,,,,,,,,,,,,,,,,13390.62,4039.62,-9351,48.4,47.5,48.4,49.4,,,,,,,,,,,,,,,,,,,,,
01/08/2012,,,-10688,81540,92228,5143.5,,,6632.52994091,59005.08188425,14209.37081696,38163.18112638,-4936.15763478,22534.62601915,,,,,,,,,,,49,48.6,47.1,47.9,49.4,27470.78365393,,,,,,,,,,,,,,,,,,,,,48.9,50.5,63,48.4,,,,,,,,,,,,,,,,,,,12384.18,1696.18,-10688,48,47.7,48.4,50.2,,,,,,,,,,,,,,,,,,,,,
01/09/2012,,,-6005,81205,87210,5788.3,,,12484.3614422,59594.09525173,10863.05968075,36246.67412879,-11120.9660536,21610.744347,3.55869935,2.08739377,5.30857227,7.55629845,2.47743802,,2.08105366,-0.06815586,2.41539662,,48.8,51.8,47.4,47.2,49.7,32731.7104006,,,,,,,,,,,,,,,,,,,,,49,50.1,61.8,48.6,387349.8,213562.3,17799.41,1636.6447,,,,,,,5717.3767,,,,,,,,7368.5,1363.5,-6005,47.7,49.5,47.9,49.3,,62048.0479,12671.4877,33676.23,107.33202952,57674.0778,40447.0339,16504.838,10902.3005,8260.9049,19446.6472,315.63828474,34789.7004,263008.1788,,2401.05655396,335376.5871,288503.1586,46873.4285,37659.052,
01/10/2012,,,-3502,90840,94342,5723.5,,,12616.40753956,68458.96717612,12303.52485549,43539.03478107,-2818.70500092,22381.27157616,,,,,,,,,,,49.1,55.1,47.3,47.6,49.5,25199.9765942,,,,,,,,,,,,,,,,,,,,,49.4,48.9,62.3,49.6,,,,,,,,,,,,,,,,,,,13299.33,9797.33,-3502,47,50.9,48.8,48.3,,,,,,,,,,,,,,,,,,,,,
01/11/2012,,,-22733,82823,105556,5632.4,,,1191.16052338,60345.81772839,18395.88907223,40758.76813278,-5381.40730633,22477.64786831,,,,,,,,,,,50.8,55.9,49.9,47.7,49.9,27859.05517464,,,,,,,,,,,,,,,,,,,,,50.3,48.9,62.5,50.5,,,,,,,,,,,,,,,,,,,18542.21,-4190.79,-22733,47.7,50.9,50,48.2,,,,,,,,,,,,,,,,,,,,,
01/12/2012,73810.88858379,,9693,126712,117019,5782.5,,31484474.2919635,21478.51638407,75674.93211589,19967.3206647,46629.09506712,6572.76853245,38636.61416253,2.90623088,2.67823205,15.30263361,6.73283746,4.35045168,35105215.3568582,2.31116901,0.34317347,2.41303565,3740.86939316,51.4,55.2,49.8,48.5,50.5,32063.84563008,440336.01899295,,,,,,,,,,,,,,,,,30919000,,33531000,50.9,48.8,61.8,51.5,391374.6,214924,19100.2522,2182.0528,1033591.40582211,0,748029.61514441,440336.01899295,412589.62467936,261907.08922594,6935.4395,117241.5857833,133860.1,36449.31245745,117950.45791306,0,506885.38114066,261907.08922594,18625.45,28318.45,9693,48.5,51.8,50.7,48.6,1336.43409464,61104.228,15292.7849,40720.5512,108.68361739,48709.1363,42759.5947,16569.0473,11614.538,8073.181,21833.9571,351.51932872,37888.1119,247855.8508,9602.62271897,2319.80828869,351885.1374,304164.697,47720.4404,47121.2863,14751.36321792
01/01/2013,,,6183.37553528,117039.98580085,110856.61026558,4520.8,,,32451.90518067,95628.97413506,15574.81552098,47602.25343341,-6175.81540749,21411.01166579,,,,,,,,,,,52.9,55.1,50.7,49.8,50.9,27586.82707328,,,,,,,,,,,,,,,,,,,,,52,48,67.1,53,,,,,,,,,,,,,,,,,,,20092.71,26276.08553528,6183.37553528,49.1,51.6,52,49,,,,,,,,,,,,,,,,,,,,,
01/02/2013,,,-24568.01676629,75954.16812973,100522.18489602,4972.5,,,-3213.43081674,54038.63286424,21186.4501712,36065.61350978,-3461.1124604,21915.53526549,,,,,,,,,,,52.1,54.2,50.5,49.1,50.6,25376.64772589,,,,,,,,,,,,,,,,,,,,,51.2,49.4,67.9,52.1,,,,,,,,,,,,,,,,,,,17893.47,-6674.54676629,-24568.01676629,48.2,51.8,51,49.1,,,,,,,,,,,,,,,,,,,,,
01/03/2013,,,-16904.05786105,79805.84820243,96709.90606348,5395.3,,,5404.90937456,57148.70718355,12394.38048277,39349.41732622,-5030.30196867,22657.14101888,2.15226839,3.35235677,5.32898182,7.68804403,1.46356932,,2.84334023,0.24908159,2.4825319,,52,51.9,50.6,48.7,50.8,27687.44298755,,,,,,,,,,,,,,,,,,,,,51.2,49.1,66.4,52,389071.4,214534.3,17091.5489,2394.9271,,,,,,,6794.2118,,,,,,,,17278.67,374.61213895,-16904.05786105,48.2,50.5,50.8,49.4,,47027.2057,12681.1193,36586.0748,110.47379287,63613.0878,41721.2654,13910.8942,8425.6292,7587.8404,21065.9881,330.65314608,34981.1641,258226.8961,,2463.48079015,311323.5855,274522.0455,36801.54,29019.6231,
01/04/2013,,,-8535.02420118,104209.91726339,112744.94146457,5330.3,,,13784.57735622,78943.00297958,15372.6313597,49785.79426366,-6181.40322389,25266.91428381,,,,,,,,,,,51,48.3,50,48.8,50.1,31448.31750769,,,,,,,,,,,,,,,,,,,,,50.3,49.7,65.4,50.5,,,,,,,,,,,,,,,,,,,16138.2,7603.17579882,-8535.02420118,48.3,48.3,50.3,50.3,,,,,,,,,,,,,,,,,,,,,
01/05/2013,,,-14964.17895216,92295.25381766,107259.43276982,5340.9,,,8932.10231279,67915.95731249,18529.84761241,40454.00738729,-3001.66646739,24379.29650517,,,,,,,,,,,51.1,48.1,49.9,49.2,50,27380.96297256,,,,,,,,,,,,,,,,,,,,,50.3,50.3,65.2,50.9,,,,,,,,,,,,,,,,,,,20894.61,5930.43104784,-14964.17895216,48.4,48.1,49.6,49.8,,,,,,,,,,,,,,,,,,,,,
01/06/2013,,,-14754.45916762,90234.27118536,104988.73035298,5555.8,,,4536.70660674,66153.24501882,15027.74491667,46588.79349541,-3179.55917076,24081.02616654,1.87502059,3.18873273,2.75110978,7.73026922,2.63207068,,1.93916126,1.90421099,2.96936123,,50.8,49.3,47.9,49.4,49.1,27260.5853373,,,,,,,,,,,,,,,,,,,,,50,50.1,65,50.5,390761.8,214977,20375.173,1420.5981,,,,,,,5629.6505,,,,,,,,16111.61,1357.15083238,-14754.45916762,48.5,48.2,50.4,49.9,,52924.7871,14298.709,37091.7367,109.2859509,87304.3876,46655.8515,17206.3991,8851.6773,6902.606,20014.3252,365.1509046,39352.7224,292764.3302,,2729.71947398,359025.9683,317792.2511,41233.7172,38118.5203,
