,Gross Domestic Product (GDP),GDP: GVA: NACE 2: Financial & Insurance Activities,GDP: GVA: NACE 2: Information & Communication,GDP: Gross Value Added (GVA),GDP: Final Consumption: Government,GDP: Final Consumption: Households,GDP: GVA: Taxes Less Subsidies,GDP: GVA: NACE 2: Real Estate Activities,GDP: GVA: NACE 2: Construction,GDP: GVA: NACE 2: Industry: ow Manufacturing,GDP: GVA: NACE 2: Industry,"GDP: GVA: NACE 2: Agriculture, Forestry & Fishing",NAS 2011-2012: GDP Deflator,GDP: 2010p: Final Consumption Expenditure: Government,GDP: Changes in Stocks,GDP: Final Consumption Expenditure: Government,Government Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Wholesale & Retail Trade, Motor Vehicles Repair, Transport & Storage, Accommodation & Food Services",Private Consumption Expenditure: USD mn: Quarterly: Albania,Private Consumption Expenditure: USD mn: Annual: Albania,"GDP: GVA: NACE 2: Arts, Entertainment & Recreation, Household Goods Repair & Other Services","GDP: GVA: NACE 2: Public Administration & Defense, Social Security, Education, Health & Social Work","GDP: GVA: NACE 2: Professional, Scientific & Technical Activities, Administrative & Support Services",Government Consumption Expenditure: USD mn: Annual: United Arab Emirates,Government Consumption Expenditure: USD mn: Quarterly: Albania,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: YoY: sa,Real GDP: sa: YoY,Real GDP: YoY: sa,Real GDP: YoY: sa,GDP per Capita: SNA 2008,Real GDP: YoY: saar,GDP per Capita: SNA 2008: USD,Global Manufacturing PMI: Excluding Japan: sa: New Orders Index,Global Manufacturing PMI: Excluding Japan: sa: Quantity of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Output Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Purchases Index,Global Manufacturing PMI: Excluding Japan: sa: Employment Index,Global Manufacturing PMI: Excluding Japan: sa: Backlogs of Work Index,Global Manufacturing PMI: Excluding Japan: sa: Input Prices Index,Global Manufacturing PMI: Excluding Japan: sa: Output Index,OE Forecast: Australia: GDP: Nominal: USD: Consumption: Private,OE Forecast: Australia: GDP: Nominal: USD,AF: Gross Domestic Product (GDP),AF: GDP: Government Consumption Expenditure,AF: GDP: Gross Fixed Capital Formation,AF: GDP: Gross Capital Formation,AF: GDP: Exports of Goods and Services,AF: GDP: Changes in Inventories,AF: GDP: Statistical Discrepancy,AF: GDP: Imports of Goods and Services,AF: GDP: Volume: 2002 Prices,AF: GDP: Household Consumption Expenditure including NPISHs,GDP: Final Consumption: Government: Collective,GDP: Final Consumption: NPISHs,Central Government: Nominal Interest,Central Government: Primary Result,Central Government: Primary Result excludes Nominal Interest,Global Manufacturing PMI: Excluding Japan: non-sa: Future Output Index,Global Manufacturing PMI: Excluding Japan: sa: Suppliers' Delivery Times Index,Global Manufacturing PMI: Excluding Japan: sa: PMI,Global Manufacturing PMI: Excluding Japan: sa: Stocks of Finished Goods Index,Global Manufacturing PMI: Excluding Japan: sa: New Export Orders Index,World: Gross Domestic Product (GDP): Value: 2010 Exchange Rates: USD,GDP: Nominal: MED: SNA 2008: Estimate,Central Government Operation: Revenue,Central Government Operation: Expenditure,Central Government Operation: Balance,Gross Domestic Product: Estimate: Monthly,GDP/Capita: SNA 1993: 1993 Base,GDP per Capita: SNA 1968,(DC)Central Government: Primary Result: Treasury,(DC)Central Government: Primary Result: Treasury: Revenue,(DC)Central Government: Primary Result: Treasury: Transfers,(DC)Central Government: Primary Result: Treasury: Expenditure,(DC)Central Government: Primary Result: Social Security,(DC)Central Government: Primary Result: Social Security: Revenue,(DC)Central Government: Primary Result: Social Security: Expenditure,AF: (DC)GDP: Volume: 1985 Prices,"(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 1 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 2 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 3 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 4 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 5 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 6 Month","(DC) Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 7 to 8 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 9 to 11 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 12 to17 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 18 to23 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 24 to29 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 30 to35 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 36 to41 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 42 to47 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 48 to59 Mth","(DC)Time Deposit Rate: ANZ Bank: AUD 100,000 to 249,999: 60to120 Mth",(DC)GDP/Capita: SNA 1993: 2000 Base: Exclude Oil & Gas,(DC)Gross Domestic Product per Capita: SNA 1993,GDP/Capita: SNA 1993: 2000 Base
01/12/2009,289506.225,6930.345,13895.8757,249266.8722,35756.3619,211763.4092,40239.3528,18844.4627,45204.1116,16990.4255,29058.8778,39406.9379,,,,,1342.21378185,50059.8316,2298.02829512,9746.57403186,7379.5452,30074.5015,8412.3832,25948.39905866,384.82591491,9.28216742,2.18444058,5.35375843,1.92822165,5.26084585,2.48160518,2.67111195,,-1.40146578,,58.8,55.1,50.2,46.5,50,49.3,59.3,58.5,161087.7,290100.3,607227.03408241,243275.72715983,221679.63866439,221679.63866439,107002.06718888,0,0,209424.84050368,334620.77516831,244694.44157299,19443.9171,1759.4545,12216.9,1988.91,-10228,,46.2,55,45.9,53.7,60625.2687803,,79389,89617,-10228,3711.3,27462272.9480041,,232.49537737,53797.34780094,13896.24428767,39668.6081359,1756.5382698,25591.54393476,23835.00566496,334620.77516831,,,,,,,,,,,,,,,,,21900994.4324543,,23880866.2166205
01/01/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9,55.8,52.9,48.9,50,52.4,63.7,59.9,,,,,,,,,,,,,,,13762.61,13877.61,115,,46.1,55.9,47.3,55.8,,,73740,73625,115,2930,,,17585.67430433,59663.5652252,10650.58447687,31427.306444,-3708.40992578,14076.01582133,17784.42574711,,,,,,,,,,,,,,,,,,,,
01/02/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,56.5,51.4,49.9,50.8,53.7,61.9,58,,,,,,,,,,,,,,,9418.71,-1211.29,-10630,,44.5,55.4,48.1,56.1,,,56914,67544,-10630,3260,,,2569.55255785,41706.22162945,12953.27885493,26183.39021666,-3781.05620717,15207.3428676,18988.39907477,,,,,,,,,,,,,,,,,,,,
01/03/2010,271180.2492,6692.3659,10506.7472,238814.1647,31685.3213,223317.6695,32366.0845,19236.1323,28864.3437,13763.9044,33283.7924,51477.5214,,,,,,44395.1777,2241.85507661,,6302.8679,29867.6567,8187.5597,,316.14595113,11.27512562,4.01697133,11.72017713,7.92072791,7.15222686,8.11733453,2.09427292,,4.43964662,,59.9,57.9,52.5,49.6,51.7,54.7,64.9,59.1,161593.8,294992.3,,,,,,,,,,,15721.1914,1369.3719,12385.75,-4438.25,-16824,,43.7,56.5,47.7,56.6,,,62378,79201,-16824,3511,,,2288.54232766,46494.66193048,9014.97272329,35191.14687953,-6726.40722968,15882.92400789,22609.33123757,,,,,,,,,,,,,,,,,,,,
01/04/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.1,58.6,55,50.4,52.6,55.1,69.2,59.9,,,,,,,,,,,,,,,11002.7,16680.7,5678,,42.7,57.2,48,55.1,,,78387,72709,5678,3544,,,19692.39899995,62057.08996696,11606.62615337,30758.06481364,-3011.81292561,16330.0561889,19341.86911451,,,,,,,,,,,,,,,,,,,,
01/05/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,56,53.5,51.6,52.2,54.6,66.9,57.3,,,,,,,,,,,,,,,13081.21,-465.79,-13547,,42.7,55.7,48.9,55.3,,,65313,78860,-13547,3562,,,2123.86730127,48731.39280424,13952.15889723,32655.36660574,-2589.52286761,16581.71781479,19171.2406824,,,,,,,,,,,,,,,,,,,,
01/06/2010,326142.1717,7310.2419,10447.9711,284832.9792,34329.1172,265719.8073,41309.1925,19042.7019,39205.3014,17127.8907,38016.6447,74379.155,,,,,,50991.4516,2474.89868485,,6752.3621,29729.1055,8958.0441,,318.21430092,12.76050453,3.40807175,8.89412287,8.53956637,7.77659771,6.20546359,2.10860302,,3.66880804,,53.9,54.3,52.2,49.9,52.2,52.9,59.8,55.1,160621.6,297859.5,,,,,,,,,,,17913.6458,1273.4949,8846.65,739.65,-8107,,42.6,54,49.4,52.6,,,61275,69382,-8107,3962.7,,,3517.84901937,44695.05841492,10980.32076076,30196.88863479,-2778.32464589,16580.28675901,19358.6114049,,,,,,,,,,,,,,,,,,,,
01/07/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.1,54.8,51.5,49.7,52.9,52.3,58.5,55.9,,,,,,,,,,,,,,,13874.19,825.19,-13049,,43.4,54.2,49,52.3,,,68371,81420,-13049,3773,,,3390.67730045,51526.63926329,8563.85270753,39572.10925531,-2565.64276383,16844.42161147,19410.0643753,,,,,,,,,,,,,,,,,,,,
01/08/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,53.8,52.5,49.7,52.5,51.2,59.6,54.9,,,,,,,,,,,,,,,13380.1,4091.1,-9289,,44.1,53.6,48.7,51.8,,,69619,78908,-9289,3863,,,9506.60473976,52288.33396328,12008.10259632,30773.6266272,-5415.58928179,17330.64448312,22746.23376491,,,,,,,,,,,,,,,,,,,,
01/09/2010,313577.7322,7489.8889,11474.2838,269795.7247,33842.3077,236926.7164,43782.0075,19266.8084,42731.9016,18207.1798,34956.5045,52420.2446,,,,,,55521.3946,2261.36859201,,8883.7533,28808.7453,8242.1997,,320.24501346,12.19773564,1.43265882,6.12055441,7.37903422,5.95260237,6.57580807,2.5309428,,5.51213756,,53.5,53.7,54.5,50.2,52.3,51.2,62.3,53.9,166440.5,310591.4,,,,,,,,,,,17424.103,2046.3464,9849.05,26005.05,16156,,44.6,53.3,49.2,51.6,,,138959,122804,16156,4361,,,35195.82385999,121831.68398852,9880.73027963,76755.1298489,-9191.14291889,17127.53294304,26318.67586193,,,,,,,,,,,,,,,,,,,,
01/10/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,53.9,54.9,49,52.3,51.4,64.2,55.6,,,,,,,,,,,,,,,10132.45,7914.45,-2218,,45.2,54,48.5,52.6,,,73912,76130,-2218,4175,,,10087.20245977,56348.60564315,11715.02791741,34546.37526597,-2172.61820411,17563.59008193,19736.20828604,,,,,,,,,,,,,,,,,,,,
01/11/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,54.9,56.3,49.2,52.3,52.1,66.7,55.9,,,,,,,,,,,,,,,12893.2,1180.2,-11713,,44.8,54.5,48,53.2,,,70961,82674,-11713,4210,,,5604.93351698,53040.87005676,12638.81888723,34797.11765255,-4424.44119504,17920.11623244,22344.55742748,,,,,,,,,,,,,,,,,,,,
01/12/2010,328745.4316,8179.6139,12427.6183,284041.6776,38454.9175,235947.6149,44703.754,18870.7889,49447.1444,18487.962,42630.5729,44311.8714,,106755.07947254,25122.97424792,106755.07947254,1331.76463136,53548.0769,2330.58683731,9308.70919078,9024.6921,36485.3569,9115.9418,29068.7758945,377.15936584,6.61871665,-0.73856759,3.56530929,6.72442869,6.38178215,6.23236472,2.80374857,28778163.8176949,3.2223974,3167.01038851,55.6,55.4,55.1,49.9,52.7,52.6,68,56.2,184148.5,344076.8,711759.30773771,275961.12488818,215439.81669233,215439.81669233,118704.34907134,0,0,274453.6843301,362857.49283107,376107.70141597,21020.1066,1677.4653,13576.6,14094.6,518,,44.2,54.6,48.1,53.5,65395.81104365,,97437,96919,518,4637.3,28778163.8176949,,10619.80562395,66913.30727226,16713.84563523,39579.65601308,3474.79223762,30523.72964542,27048.9374078,362857.49283107,,,,,,,,,,,,,,,,,24911882.098411,,27028696.4858663
01/01/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,56.1,57.4,49.7,53.4,52.5,72.2,57.3,,,,,,,,,,,,,,,16280.78,14326.78,-1954,,44.6,55.3,47.8,54.6,,,90764,92719,-1954,3498,,,17348.46653434,73648.66725961,15553.24884705,40746.95187822,-3021.87233039,17115.82314203,20137.69547242,,,,,,,,,,,,,,,,,,,,
01/02/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,56.5,59.3,49.9,54,53.4,75.4,57.9,,,,,,,,,,,,,,,15192.63,2582.63,-12610,,43.3,55.8,48.1,54.3,,,66763,79373,-12610,3820,,,5898.07540697,48985.00066272,15851.21798841,27235.70726734,-3315.59749873,17777.63415968,21093.23165841,,,,,,,,,,,,,,,,,,,,
01/03/2011,296621.6781,7839.0832,9770.9849,261646.6775,33498.7283,241567.9608,34975.0006,19744.9343,33435.4165,17930.4115,38929.8534,59679.9419,,,,,,45825.4921,2379.70094774,,7333.3363,31897.5559,7190.0791,,328.11848705,7.03827305,-0.12379,2.9236137,3.24878393,5.16716672,7.13302618,1.98200804,,0.89087168,,56.1,56.9,58.8,50.2,54.1,53.5,73.3,57.1,190830.4,353414.1,,,,,,,,,,,17354.5142,1383.7735,16008.24,8983.24,-7025,,44.5,55.3,49.1,54.1,,,73314,80340,-7025,4223,,,12118.50855289,55294.14026454,10475.22673856,32700.40497309,-3135.50345804,18020.19868355,21155.70214159,,,,,,,,,,,,,,,,,,,,
01/04/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,55.3,58.2,50.3,53.4,52.6,70.2,56.1,,,,,,,,,,,,,,,15680.5,15594.5,-86,,43.3,54.8,49.7,53.6,,,89132,89219,-86,4135,,,21323.71518356,70586.11355676,14397.66268587,34864.73568733,-5729.46502445,18546.18449791,24275.64952236,,,,,,,,,,,,,,,,,,,,
01/05/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4,54.2,56.4,49.9,53.3,51.2,65.4,54.1,,,,,,,,,,,,,,,19456.97,4188.97,-15268,,44.5,53.5,49.3,52.4,,,75366,90635,-15268,4200,,,6608.51103619,56326.50905386,16281.91146445,33436.08655322,-2419.81039664,19039.806666,21459.61706264,,,,,,,,,,,,,,,,,,,,
01/06/2011,327181.0474,8182.7056,10302.2589,291544.1583,36741.2268,278061.8544,35636.8891,19724.6295,38208.7132,18337.9142,36815.857,77848.4269,97.17687117,,,,,51017.9829,2838.2189882,,7374.1995,33150.317,8919.0678,,373.20814196,4.60623076,0.19161338,1.76575007,2.88938388,3.87559206,4.90670595,2.53631342,,-1.08409172,,51.4,51.7,54.7,49.7,52.3,50.1,60.6,52.3,204734.2,382006.6,,,,,,,,,,,19579.4545,1352.3272,17444.1,10692.1,-6752,,46,52,48.7,50.2,,,83461,90213,-6752,4307,,,12596.08487191,63849.23673961,13984.7326447,37268.419223,-1903.8134637,19612.10158253,21515.91504623,,,,,,,,,,,,,,,,,,,,
01/07/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,50.7,52.9,49.2,51.8,49.7,58.1,50.6,,,,,,,,,,,,,,,17330.72,11408.72,-5922,,47.2,51,48.5,50.3,,,89924,95847,-5922,4476,,,13493.39626902,70168.30692859,12340.09385674,44334.81680283,-2084.81554777,19756.07525658,21840.89080435,,,,,,,,,,,,,,,,,,,,
01/08/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,50.5,53.3,48,52.1,49.4,58.1,51.1,,,,,,,,,,,,,,,20563.09,2599.09,-17964,,48.1,50.8,48.8,49.9,,,74745,92709,-17964,4528,,,6525.08840479,54293.80960927,14188.39169444,33580.33568123,-3926.01716496,20450.89876407,24376.91592903,,,,,,,,,,,,,,,,,,,,
01/09/2011,324042.3425,8585.3284,11302.564,278527.4654,34501.6511,248865.154,45514.8771,19488.5713,41744.6816,19018.114,39636.8719,51425.9467,99.34401121,,,,,58524.1847,2525.29244973,,7248.245,31474.9743,9096.0976,,347.94796,3.52787929,2.73899802,2.77640173,3.73880423,3.24749616,4.22262551,3.17212731,,-0.42005814,,49.7,49.9,53.1,48.7,51.3,48.4,58.4,51,204286.3,384154.1,,,,,,,,,,,17688.6446,1536.5412,13298.12,5483.12,-7815,,48.4,50.5,48.3,49.1,,,78266,86080,-7815,5038,,,14833.98837538,58472.25813982,9633.44050886,34004.86742711,-9350.42763566,19793.39657191,29143.82420757,,,,,,,,,,,,,,,,,,,,
01/10/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.7,50.2,52.7,48.1,50.9,48.1,54.7,50.6,,,,,,,,,,,,,,,15311.82,11576.82,-3735,,48.4,50.6,48.5,48.2,,,86510,90245,-3735,5175,,,12905.42266737,65988.40367199,15247.21983096,37835.83821278,-1328.14394524,20521.63053633,21849.77448157,,,,,,,,,,,,,,,,,,,,
01/11/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,48.3,49.2,48,51,48.5,51.4,48.9,,,,,,,,,,,,,,,16344.99,4846.99,-11498,,48.3,49.4,48.6,49.1,,,79533,91031,-11498,5100,,,9063.70739841,58973.60539395,15152.43984557,34757.51942697,-4216.69555209,20558.99802174,24775.69357383,,,,,,,,,,,,,,,,,,,,
01/12/2011,352779.0123,8869.6375,12581.3635,299402.4981,37991.0239,243330.7764,53376.5142,19409.595,51989.5374,18353.429,37689.1814,48107.386,100.8861035,119833.00368487,22223.68845365,128180.87815725,1414.97247315,61293.9828,2364.25270738,10107.46509305,9347.0808,37339.6275,12775.1062,34902.89398428,365.69788413,0.21368394,4.72066635,-4.07215638,4.62452021,2.5119167,3.08422623,3.35261257,32363747.8630377,0.23817701,3687.75092107,49.5,49.4,49.6,47.4,50.8,48.2,51,50.6,198784.3,371556.1,836222.47335589,363484.16834578,220821.99826013,220821.99826013,142545.31760398,0,0,345409.33980129,386367.65485106,454780.32894728,19635.279,2282.8435,18145.54,1793.54,-16352,,48.5,50.1,48.8,49.7,70389.98858177,,99410,115762,-16352,5200,30115352.7800862,,-3092.55346328,64710.35479474,19377.72622769,48425.29093203,4885.88366849,34699.19331286,29813.30964437,386367.65485106,,,,,,,,,,,,,,,,,28083000,,30659000
01/01/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1,50,49.4,47.6,50.6,48.8,53.4,51.4,,,,,,,,,,,,,,,19459,20827,1368,,48.5,50.8,48.5,50.4,,,102248,100880,1368,3924,,,23832.27221903,82650.45756693,15622.47032428,43195.71502362,-3005.39219515,19597.72533018,22603.11752533,,,,,,,,,,,,,,,,,,,,
01/02/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,50.4,51.4,48.3,51.1,48.9,56.6,52.2,,,,,,,,,,,,,,,14710.36,5359.36,-9351,,48.2,51.1,49.4,49.9,,,77520,86871,-9351,4338,,,10502.73503353,58717.49683087,18190.90129184,30023.8605055,-5143.42337322,18802.34188408,23945.7652573,,,,,,,,,,,,,,,,,,,,
01/03/2012,298725.96,7807.5841,9042.1191,259355.7174,35276.4583,243430.1556,39370.2426,19868.2117,30331.4539,13265.4998,31801.8246,62742.7001,102.24267985,,,,,46350.787,2305.41754148,,5911.8221,34781.9659,10717.2489,,332.37702475,0.70410009,3.04575748,2.61001915,6.62067144,2.34601843,0.51317561,4.71959354,,2.97317425,,51.1,51.2,51.4,49.3,51,50,57.8,52,211296.8,389241.7,,,,,,,,,,,18327.4735,1252.7187,18208.02,7704.02,-10504,,48.6,51.2,49.2,50.4,,,82874,93378,-10504,4680,,,9468.18978657,60652.72558096,12285.93370408,38898.60209031,-1764.51066856,22221.37346666,23985.88413523,,,,,,,,,,,,,,,,,,,,
01/04/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.2,51,51.8,49.4,50.8,49.7,57,51.5,,,,,,,,,,,,,,,12017.85,11292.85,-725,,48.9,51,49.1,49.9,,,96570,97295,-725,4728.5,,,16608.62282275,74804.08650556,16557.66751336,41637.79616945,-5315.67471793,21765.56872521,27081.24344314,,,,,,,,,,,,,,,,,,,,
01/05/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7,49.7,50.4,48.2,50.1,49.3,52.9,50.5,,,,,,,,,,,,,,,15423.3,1873.3,-13550,,49.7,49.9,49.8,49.1,,,81382,94932,-13550,4881,,,4446.70329936,59560.94651528,18060.60276755,37053.64044837,-2573.0935518,21820.89060591,24393.98415737,,,,,,,,,,,,,,,,,,,,
01/06/2012,346823.2937,7991.5086,10175.9072,302722.9734,36586.6271,278183.7094,44100.3203,18733.952,36680.9429,15162.2199,38659.2712,81000.0438,104.8965402,,,,,54768.8631,2576.34033485,,6062.8335,35485.2578,13164.3933,,336.89945643,0.76204015,2.77610017,6.05851295,5.81630195,2.43520728,1.51907846,4.35057397,,2.82029057,,49.5,48.6,47.5,47.4,49.7,47.7,47.7,50.3,205443.5,375971.2,,,,,,,,,,,18781.114,1601.8507,12289.53,1200.53,-11089,,50.7,49.5,49.6,47.4,,,79820,90909,-11089,4975.2,,,3957.97744329,58187.97948224,13445.84126186,40784.16077709,-2757.27414641,21631.89169768,24389.16584409,,,,,,,,,,,,,,,,,,,,
01/07/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,48.4,47.5,48.4,49.1,47.2,46.9,49.4,,,,,,,,,,,,,,,13390.62,4039.62,-9351,62.1,50.5,49,49.4,47.4,,,88071,97422,-9351,5083.5,,,6620.3102927,65786.74301504,11474.26234411,47692.17037823,-2580.98271677,22283.99301506,24864.97573183,,,,,,,,,,,,,,,,,,,,
01/08/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.4,48.4,47.7,48,49.4,47.9,48.6,49,,,,,,,,,,,,,,,12384.18,1696.18,-10688,63,50.5,48.9,50.2,47.1,,,81540,92228,-10688,5143.5,,,6632.52994091,59005.08188425,14209.37081696,38163.18112638,-4936.15763478,22534.62601915,27470.78365393,,,,,,,,,,,,,,,,,,,,
01/09/2012,335376.5871,8260.9049,10902.3005,288503.1586,34789.7004,263008.1788,46873.4285,19446.6472,37659.052,16504.838,40447.0339,57674.0778,107.33202952,,,,,62048.0479,2401.05655396,,5717.3767,33676.23,12671.4877,,315.63828474,2.47743802,2.08105366,5.30857227,7.55629845,2.41539662,2.08739377,3.55869935,,-0.06815586,,48.6,47.9,49.5,47.7,49.7,47.2,51.8,48.8,213562.3,387349.8,,,,,,,,,,,17799.41,1636.6447,7368.5,1363.5,-6005,61.8,50.1,49,49.3,47.4,,,81205,87210,-6005,5788.3,,,12484.3614422,59594.09525173,10863.05968075,36246.67412879,-11120.9660536,21610.744347,32731.7104006,,,,,,,,,,,,,,,,,,,,
01/10/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6,48.8,50.9,47,49.5,47.6,55.1,49.1,,,,,,,,,,,,,,,13299.33,9797.33,-3502,62.3,48.9,49.4,48.3,47.3,,,90840,94342,-3502,5723.5,,,12616.40753956,68458.96717612,12303.52485549,43539.03478107,-2818.70500092,22381.27157616,25199.9765942,,,,,,,,,,,,,,,,,,,,
01/11/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,50,50.9,47.7,49.9,47.7,55.9,50.8,,,,,,,,,,,,,,,18542.21,-4190.79,-22733,62.5,48.9,50.3,48.2,49.9,,,82823,105556,-22733,5632.4,,,1191.16052338,60345.81772839,18395.88907223,40758.76813278,-5381.40730633,22477.64786831,27859.05517464,,,,,,,,,,,,,,,,,,,,
01/12/2012,351885.1374,8073.181,11614.538,304164.697,37888.1119,247855.8508,47720.4404,21833.9571,47121.2863,16569.0473,42759.5947,48709.1363,108.68361739,117241.5857833,14751.36321792,133860.1,1336.43409464,61104.228,2319.80828869,9602.62271897,6935.4395,40720.5512,15292.7849,36449.31245745,351.51932872,4.35045168,2.31116901,15.30263361,6.73283746,2.41303565,2.67823205,2.90623088,35105215.3568582,0.34317347,3740.86939316,51.5,50.7,51.8,48.5,50.5,48.5,55.2,51.4,214924,391374.6,1033591.40582211,412589.62467936,261907.08922594,261907.08922594,117950.45791306,0,0,506885.38114066,440336.01899295,748029.61514441,19100.2522,2182.0528,18625.45,28318.45,9693,61.8,48.8,50.9,48.6,49.8,73810.88858379,,126712,117019,9693,5782.5,31484474.2919635,,21478.51638407,75674.93211589,19967.3206647,46629.09506712,6572.76853245,38636.61416253,32063.84563008,440336.01899295,,,,,,,,,,,,,,,,,30919000,,33531000
01/01/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,52,51.6,49.1,50.9,49.8,55.1,52.9,,,,,,,,,,,,,,,20092.71,26276.08553528,6183.37553528,67.1,48,52,49,50.7,,,117039.98580085,110856.61026558,6183.37553528,4520.8,,,32451.90518067,95628.97413506,15574.81552098,47602.25343341,-6175.81540749,21411.01166579,27586.82707328,,,,,,,,,,,,,,,,,,,,
01/02/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,51,51.8,48.2,50.6,49.1,54.2,52.1,,,,,,,,,,,,,,,17893.47,-6674.54676629,-24568.01676629,67.9,49.4,51.2,49.1,50.5,,,75954.16812973,100522.18489602,-24568.01676629,4972.5,,,-3213.43081674,54038.63286424,21186.4501712,36065.61350978,-3461.1124604,21915.53526549,25376.64772589,,,,,,,,,,,,,,,,,,,,
01/03/2013,311323.5855,7587.8404,8425.6292,274522.0455,34981.1641,258226.8961,36801.54,21065.9881,29019.6231,13910.8942,41721.2654,63613.0878,110.47379287,,,,,47027.2057,2463.48079015,,6794.2118,36586.0748,12681.1193,,330.65314608,1.46356932,2.84334023,5.32898182,7.68804403,2.4825319,3.35235677,2.15226839,,0.24908159,,52,50.8,50.5,48.2,50.8,48.7,51.9,52,214534.3,389071.4,,,,,,,,,,,17091.5489,2394.9271,17278.67,374.61213895,-16904.05786105,66.4,49.1,51.2,49.4,50.6,,,79805.84820243,96709.90606348,-16904.05786105,5395.3,,,5404.90937456,57148.70718355,12394.38048277,39349.41732622,-5030.30196867,22657.14101888,27687.44298755,,,,,,,,,,,,,,,,,,,,
01/04/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,50.3,48.3,48.3,50.1,48.8,48.3,51,,,,,,,,,,,,,,,16138.2,7603.17579882,-8535.02420118,65.4,49.7,50.3,50.3,50,,,104209.91726339,112744.94146457,-8535.02420118,5330.3,,,13784.57735622,78943.00297958,15372.6313597,49785.79426366,-6181.40322389,25266.91428381,31448.31750769,,,,,,,,,,,,,,,,,,,,
01/05/2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,49.6,48.1,48.4,50,49.2,48.1,51.1,,,,,,,,,,,,,,,20894.61,5930.43104784,-14964.17895216,65.2,50.3,50.3,49.8,49.9,,,92295.25381766,107259.43276982,-14964.17895216,5340.9,,,8932.10231279,67915.95731249,18529.84761241,40454.00738729,-3001.66646739,24379.29650517,27380.96297256,,,,,,,,,,,,,,,,,,,,
